URL,Video ID,Title,Channel,Views,Likes,Duration (seconds),Status
"https://youtube.com/shorts/-36ta3k3Mms?si=x_A3R2td-ZM5oN1x",-36ta3k3Mms,"BIG DISCOUNT TRICK","Harman Sparks",710,16,38,success
"https://youtube.com/shorts/axlTYjjcMXg?si=6HPA_W27F9OrjWe3",axlTYjjcMXg,"3 February 2026","kiara sharma",199,1,19,success
"https://youtube.com/shorts/OAuIrZeUohg?si=spTY994ZLHPYJZnl",OAuIrZeUohg,"Go and check:- Buyhatke 😍 #shopping #buyhatke #trendingshorts #viral","Dev Arya Vlogs ",992,17,39,success
"https://youtube.com/shorts/RHupQkR6wvw?si=c28IUp8qTj4fZzvn",RHupQkR6wvw,"Try @BuyHatke and thank me later guys 🙌🏻","Bandanaarora02",64,1,29,success
"https://youtube.com/shorts/wY7SZE6BQas?si=uw00w8r7bfklPVHh",wY7SZE6BQas,"Comment link","kunal yadav ",30,1,10,success
"https://youtube.com/shorts/m0m9ipNnZ2g?si=XOF6aNXiIxicLqAE",m0m9ipNnZ2g,"Buyhatke.com/","kiara sharma",13,1,21,success
"https://youtube.com/shorts/v-UlgJsZ-A4?si=KVrsA4kOpBqEoWsd",v-UlgJsZ-A4,"BUYHATKE.COM/","NIKHIL RAGHAV",200,1,38,success
"https://youtube.com/shorts/iYa-ZYEviZA?si=pwVNrB1ZULQtF17h",iYa-ZYEviZA,"buyhatke.com/","NIKHIL RAGHAV",1,0,37,success
"https://youtube.com/shorts/17rMlTafCkg?si=frZmBGpJroQ8cEsz",17rMlTafCkg,"Smart shopping with @BuyHatke","Bass Yuhii",1339,15,22,success
"https://youtube.com/shorts/zTNsphy7tFs?si=YYl65yUIq59bZkEn",zTNsphy7tFs,"valentine's day special","satyz shorts",299,0,30,success
"https://youtube.com/shorts/5p-Ble5Zzjc?si=U0WHeH9mhDKrKdPk",5p-Ble5Zzjc,"Save some money🤍 with @buyhatke#buyhatke #vrkcollab","VIRAT_",1358,12,42,success
"https://youtube.com/shorts/LMb8to4jE_w?si=0Q1mtLZNGFBVq5h9",LMb8to4jE_w,"@BuyHatke","Soumya khetan",331,0,52,success
"https://youtube.com/shorts/ceLKSStcq1Q?si=Ow6LW9V65j9S1NQo",ceLKSStcq1Q,"save money  with @BuyHatke @vrkgrandlinestudio","megha bansal",102,0,36,success
"https://youtube.com/shorts/HFFWZuLIPBM?si=JzkFLh7O2BnskZSx",HFFWZuLIPBM,"Save some money with @BuyHatke 🤍 #buyhatke #vrkcollab","Ugc_playbook",1031,6,37,success
"https://youtube.com/shorts/rZUR_ArFwOw?si=snvTDjPgHAEFsuu9",rZUR_ArFwOw,"Save some money @buyhatke#buyhatke#details","Rosy Kaur",7,0,56,success
"https://youtube.com/shorts/zOedim4wXKs?si=051rffCW32NXyRP7",zOedim4wXKs,"4 February 2026","Aparna Rajani",11,0,43,success
"https://youtube.com/shorts/AyKkDkEemrQ?si=FoItq_IpP-umdaNr",AyKkDkEemrQ,"Save some money with @BuyhatkeShorts","Subhashree Rout",1148,10,29,success
"https://youtube.com/shorts/ULPOjTCMG9E?si=oXyvdEuY9LDW2iSE",ULPOjTCMG9E,"Shopping online but still paying extra? 🤯 STOP RIGHT NOW.","SBV 🧿",49,1,54,success
"https://youtube.com/shorts/hrQOT2uPU0o?si=dI4puvzLKkr1lPi-",hrQOT2uPU0o,"Save some money🤍 with @buyhatke #buyhatke #vrkcollab","Hreya Sarkar ",50,0,46,success
"https://youtube.com/shorts/A7HllcBoAKA?si=Di85ggHhgYOoric3",A7HllcBoAKA,"Save some money🤍 with @buyhatke#buyhatke #vrkcollab","Through My Lenses",15,1,54,success
"https://youtube.com/shorts/xgvE7AIhIb4?si=DJMKLVPeAGepl5JW",xgvE7AIhIb4,"Save some money🤍 with #buyhatke","Manu Singh",1049,11,40,success
"https://youtube.com/shorts/QgpAM6Rz9D0?si=926jXkqC95qmoJ_V",QgpAM6Rz9D0,"You should try this hack too!!🤯 #buyhatke #hack #savemoney","Riya Riu",13,0,56,success
"https://youtube.com/shorts/sd-PM0aaScQ?si=0eOdRY5X_ZhXO2DN",sd-PM0aaScQ,"Comment “CAB” for the app","Riya Riu",1945,17,22,success
"https://youtube.com/shorts/YXEJEdwgug0?si=5EFFi3H7j50Ag2Kj",YXEJEdwgug0,"Product pe mat jao😂 website pe jao🫡#buyhatke #shorts #influencercollab #movie","Sarthak Bassi",1166,5,22,success
"https://youtube.com/shorts/F59hKB6NYfg?si=0oAkbjLO0DlkhfFM",F59hKB6NYfg,"CRAZY Money saving hack 💸🤯 |#ytshorts #buyhatke #hack #viral","Siddhi Singh",207957,5645,37,success
"https://youtube.com/shorts/zNfLUb5-doc?si=UGnPO4__lGEKEzqn",zNfLUb5-doc,"Buyhatke | saves money #buyhatke","Savni Sahu",1714,9,15,success
"https://youtube.com/shorts/z3uLtkD55mY?si=BY51r0ua0e2rYRMP",z3uLtkD55mY,"The website is BUYHATKE 🥳✨🎊 #onlineshopping #discount #savemoney #reels","Nisha Singh Rathore",18,4,18,success
"https://youtube.com/shorts/fDQIFIlQd_4?si=XHL4spW7mWjlI4iV",fDQIFIlQd_4,"Visit @BuyHatke","Mayank Sachdeva",918132,29521,44,success
"https://youtube.com/shorts/p49yVN-ZXJ8?si=g33nODLlC-d7QGjB",p49yVN-ZXJ8,"Use buyhatke and thank me later","Harman Sparks",303,6,45,success
"https://youtube.com/shorts/10t2x3BTW7I?si=3QOSTK6tihjXUSRt",10t2x3BTW7I,"Go and save your money @BuyHatke","kunal yadav ",914,16,35,success
"https://youtube.com/shorts/kHjmqbOD4LI?si=TqyYOt4YnKi80kG_",kHjmqbOD4LI,"check this out ☺️","Tanay Gupta",63,1,34,success
"https://youtube.com/shorts/rQAEwT1Am-4?si=ps8S--xRLyf-gMJ8",rQAEwT1Am-4,"Download @BuyHatke","kunal yadav ",723,19,31,success
"https://youtube.com/shorts/vEyN7yqFZLI?si=jqOI1ywQy2ywYkga",vEyN7yqFZLI,"8 February 2026","Yash Chandra",1409,11,34,success
"https://youtube.com/shorts/WWm7Kvf37sk?si=bJ_YfmACFXUAM7u-",WWm7Kvf37sk,"","",0,0,0,success
"https://youtube.com/shorts/djdr6CgauUM?si=bZuocacvPmbDFGs_",djdr6CgauUM,"Try buyhatke.com/ and thank me later #amazing #marketing #buy #buyhatke #discount #onlineshopping","Kaleshi Biharan",1398,13,24,success
"https://youtube.com/shorts/on0SDpc41Jc?si=8CtnNjBZrNiQtxJG",on0SDpc41Jc,"#Oopscontent  #reachmorepeople #relatable #valentinesday #valentinegift #giftideasforboyfriend","Oops! Content ",1966,22,74,success
"https://youtube.com/shorts/5_lJsHdvAdM?si=2pQbip4vBvE06bSj",5_lJsHdvAdM,"Just comment 'extension' to get the link. #dominos #shorts #viral","Aakshi",110,2,31,success
"https://youtube.com/shorts/E6XLzYbq-rE?si=ob-t6nV5ALAwC_MX",E6XLzYbq-rE,"You can't skip this, go and check it out right now 😍. #shorts #viral","Evaniii",2,1,46,success
"https://youtube.com/shorts/NvBhOYBfiBQ?si=9wnwQkutfhpqa_ij",NvBhOYBfiBQ,"@BuyHatke my savings account ✨","Bass Yuhii",1213,17,20,success
"https://youtube.com/shorts/oDnNOAihmx0?si=uaWFqxcdfUs6lhQ0",oDnNOAihmx0,"Best friend ko pitt diya!😜🤣 #comedy #funny #theatrememes #comedymove #buyhatke","SHIVANG TV",3570,27,24,success
"https://youtube.com/shorts/2ZL55q0ugBs?si=Kd2i9FFud7FLB9fn",2ZL55q0ugBs,"GO AND CHECK BUYHATKE 🤯 #shopping #buyhatke #viral #trending","Dev Arya Vlogs ",847,29,56,success
"https://www.youtube.com/shorts/_GTB9QU1JFo",_GTB9QU1JFo,"share with your friends to save money","keshavnotreal",972,23,44,success
"https://youtube.com/shorts/8VvfBMauVIY?si=YR4-jDNXCnI93GSQ",8VvfBMauVIY,"Hai na bhai badhiya cheez😱💸💸#flipkart #hack #shorts #trending #buyhatke","Groovewithkanish",1103,30,42,success
"https://youtube.com/shorts/ef3Nhv3PxTk?si=kJYkKcb03hN4_neS",ef3Nhv3PxTk,"Subscribe and comment link 🔗","kunal yadav ",152,0,25,success
"https://youtube.com/shorts/2RoQn-WbcBA?si=oW1Is00zJdlBHBrQ",2RoQn-WbcBA,"11 February 2026","Yash Chandra",26,1,39,success
"https://youtube.com/shorts/ky2WBd5c88M?si=DpmpfPtRbqgaZfxq",ky2WBd5c88M,"Crazy hack #shorts #hack","Creatorsingh ",477,18,34,success
"https://youtube.com/shorts/qscPMza-Rk0?si=QgOtQPEw1ubg3X2I",qscPMza-Rk0,"USE BUYHATKE Thank me later","Harman Sparks",324,12,35,success
"https://youtube.com/shorts/d-_PMGQ79HI?si=6IqQpxAuksIF2mch",d-_PMGQ79HI,"Use buyhatke and thank me later 💗","Tanishka Sood",127,7,43,success
"https://youtube.com/shorts/gskhrTJ-pzU?si=XjIJan7Dq3oHHXez",gskhrTJ-pzU,"#amazing #marketing #buy #buy #buyhatke #discount #onlineshopping","Kaleshi Biharan",5,0,22,success
"https://youtube.com/shorts/DPJGSvtuWQY?feature=shared",DPJGSvtuWQY,"Go and check it out#shorts #viral #viralshort .","Sanika",1,1,37,success
"https://youtube.com/shorts/uS4E6XRdVI8?si=C1nfE5jCzncz1cLJ",uS4E6XRdVI8,"try this hack @BuyHatke 😁","Agrim Kukreja",1541,17,30,success
"https://youtube.com/shorts/3A1-QEeizrY?si=qe9VRFPBFyjIa-bi",3A1-QEeizrY,"Free Coupons at this website!!🤯","SHIVANG TV",505,15,29,success
"https://youtube.com/shorts/FxShM1Tvkw0?si=N1m01WodF-sNeRZT",FxShM1Tvkw0,"Visit ​⁠@BuyHatke 🔥","Bass Yuhii",979,27,37,success
"https://youtube.com/shorts/I1vtKzpiU90?si=-8PrbANQZdFD-CU8",I1vtKzpiU90,"Go and download @BuyHatke #meesho #fashion #lifeisbutadream","kunal yadav ",45,1,37,success
"https://youtube.com/shorts/-g9103sFiME?si=qdGp33Mp0H0iyzOY",-g9103sFiME,"@BuyHatke  Download it from app store & play store rn!","UNIX TV",1488,9,7,success
"https://youtube.com/shorts/Pm1parjnS-0?si=XiQrcsfcyX11k6Nl",Pm1parjnS-0,"Comment link.       #subscribe #meesho #skincare #viralshorts","kunal yadav ",900,5,33,success
"https://youtube.com/shorts/UkKXzIYy-1o?si=PsLmyVK7yQRJN06L",UkKXzIYy-1o,"That one STUDENT!!🤣🤌 #comedy #promotion #comedyfilms #buyhatke","SHIVANG TV",1119,49,37,success
"https://youtube.com/shorts/vr-ejDhrfHw?si=15gwo0s79lHvrHee",vr-ejDhrfHw,"Go and check BuyHatke right now...#shorts #viral","Lakshay",105,1,34,success
"https://youtube.com/shorts/TlNAbH8Buw8?si=ZWKxipRUl6rmYriY",TlNAbH8Buw8,"Delete blinkit/zepto/ instamart right now","Ayush Pal ",60,2,31,success
