URL,Video ID,Title,Channel,Views,Likes,Comments,Duration (seconds),Published Date,Status
"https://youtube.com/shorts/axlTYjjcMXg?si=6HPA_W27F9OrjWe3",axlTYjjcMXg,"3 February 2026","kiara sharma",0,0,0,0,,success
"https://youtube.com/shorts/OAuIrZeUohg?si=spTY994ZLHPYJZnl",OAuIrZeUohg,"Go and check:- Buyhatke 😍 #shopping #buyhatke #trendingshorts #viral","Dev Arya Vlogs ",0,0,0,0,,success
"https://youtube.com/shorts/RHupQkR6wvw?si=c28IUp8qTj4fZzvn",RHupQkR6wvw,"Try @BuyHatke and thank me later guys 🙌🏻","Bandanaarora02",0,0,0,0,,success
"https://youtube.com/shorts/wY7SZE6BQas?si=uw00w8r7bfklPVHh",wY7SZE6BQas,"Comment link","kunal yadav ",0,0,0,0,,success
"https://youtube.com/shorts/m0m9ipNnZ2g?si=XOF6aNXiIxicLqAE",m0m9ipNnZ2g,"Buyhatke.com/","kiara sharma",0,0,0,0,,success
"https://youtube.com/shorts/v-UlgJsZ-A4?si=KVrsA4kOpBqEoWsd",v-UlgJsZ-A4,"BUYHATKE.COM/","NIKHIL RAGHAV",0,0,0,0,,success
"https://youtube.com/shorts/iYa-ZYEviZA?si=pwVNrB1ZULQtF17h",iYa-ZYEviZA,"buyhatke.com/","NIKHIL RAGHAV",0,0,0,0,,success
"https://youtube.com/shorts/17rMlTafCkg?si=frZmBGpJroQ8cEsz",17rMlTafCkg,"Smart shopping with @BuyHatke","Bass Yuhii",0,0,0,0,,success
"https://youtube.com/shorts/zTNsphy7tFs?si=YYl65yUIq59bZkEn",zTNsphy7tFs,"valentine's day special","satyz shorts",0,0,0,0,,success
"https://youtube.com/shorts/5p-Ble5Zzjc?si=U0WHeH9mhDKrKdPk",5p-Ble5Zzjc,"Save some money🤍 with @buyhatke#buyhatke #vrkcollab","VIRAT_",0,0,0,0,,success
"https://youtube.com/shorts/LMb8to4jE_w?si=0Q1mtLZNGFBVq5h9",LMb8to4jE_w,"@BuyHatke","Soumya khetan",0,0,0,0,,success
